esrb_rating,game_id,game_type,perspective,title
Mature,1,,Diagonal-down,Baldur's Gate III
Everyone 10+,2,,Behind view,The Legend of Zelda: Tears of the Kingdom
Everyone 10+,3,,3rd-person (Other),Astro Bot
Teen,4,,1st-person,Metroid Prime: Remastered
,5,,Behind view,Elden Ring
,6,,Behind view,Metaphor: ReFantazio
,7,,Behind view,Clair Obscur: Expedition 33
Mature,8,,Behind view,God of War: Ragnarök
,9,,Behind view,Resident Evil 4
,10,,Side view,Hollow Knight: Silksong
Teen,11,,Behind view Side view,Split Fiction
,12,,1st-person Top-down,Balatro
,13,,Behind view,Like a Dragon: Infinite Wealth
Everyone,14,,Side view,Super Mario Bros. Wonder
Teen,15,,Behind view Side view,Street Fighter 6
Teen,16,,3rd-person (Other),Final Fantasy VII: Rebirth
Mature,17,,1st-person,Tsukihime: A piece of blue glass moon
Everyone 10+,18,,Behind view,Donkey Kong Bananza
,19,,Behind view,Persona 5: Royal
,20,,1st-person,Blue Prince
,21,,Side view,Animal Well
,22,,3rd-person (Other) Behind view,Psychonauts 2
Mature,23,,1st-person,Kingdom Come: Deliverance II
,24,,Side view,Tekken 8
,25,,1st-person,Half-Life: Alyx
Teen,26,,Behind view Side view,It Takes Two
Teen,27,,3rd-person (Other),Final Fantasy VII: Remake
Mature,28,,Behind view,Ghost of Tsushima: Director's Cut
,29,,Behind view,Monster Hunter: Wilds
Mature,30,,Behind view,The Last of Us: Part II
Teen,31,,3rd-person (Other),Xenoblade Chronicles 3
Teen,32,,Side view,Metroid Dread
Everyone,33,,1st-person 3rd-person (Other),Microsoft Flight Simulator
,34,,Side view,Ori and the Will of the Wisps
,35,,Side view,Castlevania: Dominus Collection
,36,,1st-person Behind view,Forza Horizon 5
Mature,37,,Behind view,The Last of Us: Part I
Mature,38,,Behind view,Death Stranding 2: On the Beach
,39,,1st-person,Slay the Princess
Teen,40,,Behind view,Hi-Fi Rush
,41,,Diagonal-down,Chained Echoes
Everyone,42,,Behind view Side view,Paper Mario: The Thousand-Year Door
Teen,43,,Behind view,Marvel Spider-Man 2
,44,,Side view,Dave the Diver
,45,,3rd-person (Other) Behind view,Shin Megami Tensei V: Vengeance
,46,,Behind view,Uncharted: Digital Bundle
,47,,1st-person Behind view Diagonal-down Side view Top-down,UFO 50
Mature,48,,Behind view,Demon's Souls
,49,,Side view,Shinobi: Art of Vengeance
,50,,Side view,Absolum
,51,,Behind view,Dead Space
,52,,Behind view,Alan Wake II
,53,,Top-down,Sea of Stars
,54,,3rd-person (Other),Persona 3: Reload
Mature,55,,1st-person Behind view,Death Stranding: Director's Cut
Teen,56,,Diagonal-down,Unicorn Overlord
Everyone,57,,3rd-person (Other),Super Mario 3D World + Bowser’s Fury
Mature,58,,Behind view,The Last of Us: Part II - Remastered
Everyone,59,,Diagonal-down,Animal Crossing: New Horizons
,60,,Behind view,Tony Hawk's Pro Skater 1 + 2
Teen,61,,3rd-person (Other),Xenoblade Chronicles X: Definitive Edition
Everyone 10+,62,,Behind view,Ratchet & Clank: Rift Apart
,63,,1st-person,The Talos Principle II
Teen,64,,,Hades
Teen,65,,1st-person 3rd-person (Other),Lorelei and the Laser Eyes
,66,,Side view,Prince of Persia: The Lost Crown
,67,,1st-person,Doom Eternal
,68,,3rd-person (Other),Pentiment
Mature,69,,3rd-person (Other),Silent Hill 2
,70,,1st-person,Cyberpunk 2077 & Phantom Liberty Bundle
Teen,71,,Side view,Theatrhythm: Final Bar Line
,72,,Top-down,Dwarf Fortress
Mature,73,,Behind view,Ghost of Yōtei
,74,,,Atari 50: The Anniversary Celebration
,75,,Side view,Ender Magnolia: Bloom in the Mist
Teen,76,,Behind view,Horizon II: Forbidden West
,77,,1st-person,Indiana Jones and the Great Circle
,78,,Diagonal-down,Citizen Sleeper 2: Starward Vector
Everyone 10+,79,,Diagonal-down,Mario + Rabbids: Sparks of Hope
,80,,1st-person,Inscryption
Mature,81,,3rd-person (Other),1000xRESIST
Teen,82,,Behind view,Returnal
Everyone 10+,83,,3rd-person (Other) Diagonal-down,Kirby and the Forgotten Land
,84,,Diagonal-down,Cocoon
Mature,85,,Behind view,Ghost of Tsushima
,86,,Side view,Neva
,87,,Side view,Huntdown
,88,,Diagonal-down,Final Fantasy VI
,89,,Diagonal-down,Total War: Warhammer III
Teen,90,,3rd-person (Other),Xenoblade Chronicles: Definitive Edition
,91,,1st-person Behind view,The Talos Principle: Reawakened
,92,,1st-person,Neon White
,93,,1st-person,Mullet MadJack
,94,,Diagonal-down,Frostpunk 2
Mature,95,,1st-person,Quake
,96,,Diagonal-down,Star Ocean: The Second Story R
Mature,97,,Behind view,Mass Effect: Legendary Edition
Mature,98,,3rd-person (Other),AI: The Somnium Files - nirvanA Initiative
Teen,99,,Behind view,Monster Hunter: Rise
Mature,100,,1st-person 3rd-person (Other),Yakuza: Like a Dragon
,101,,1st-person Behind view,Gran Turismo 7
,102,,Behind view,Hitman III
,103,,1st-person Behind view,Doom: The Dark Ages
,104,,Diagonal-down,Tactics Ogre: Reborn
Teen,105,,,Jack Jeanne
,106,,Side view,Pizza Tower
,107,,Side view,Ghost Trick: Phantom Detective
,108,,Side view,Streets of Rage 4
,109,,3rd-person (Other),PlayStation 5 (included game)
,110,,3rd-person (Other) Behind view,Shin Megami Tensei V
,111,,3rd-person (Other),The Hundred Line: Last Defense Academy
Teen,112,,3rd-person (Other),Final Fantasy VII: Remake - Intergrade
Mature,113,,Diagonal-down,Crusader Kings III
Teen,114,,Side view,Marvel vs. Capcom Fighting Collection: Arcade Classics
,115,,Side view,Ninja Gaiden: Ragebound
,116,,Side view,Rogue Legacy 2
Everyone 10+,117,,Diagonal-down,The Legend of Zelda: Echoes of Wisdom
,118,,Diagonal-down,Two Point Museum
Teen,119,,Behind view,Horizon II: Forbidden West - Complete Edition
,120,,Behind view,Metal Gear Solid Δ: Snake Eater
,121,,1st-person,Immortality
,122,,3rd-person (Other),Return to Monkey Island
,123,,Side view,Bzzzt
,124,,Diagonal-down,Victoria 3
,125,,3rd-person (Other),The Drifter
,126,,Side view,Blasphemous II
,127,,Diagonal-down Side view,Octopath Traveler II
,128,,Diagonal-down,Diablo IV
Mature,129,,1st-person,Quake II
,130,,3rd-person (Other) Side view,The Alters
,131,,3rd-person (Other),Dragon Quest III: HD-2D Remake
Teen,132,,3rd-person (Other) Diagonal-down,NEO: The World Ends with You
Teen,133,,1st-person 3rd-person (Other) Behind view Side view,Dreams
,134,,Diagonal-down,Suikoden I&II HD Remaster: Gate Rune & Dunan Unification Wars
Everyone,135,,Behind view,Mario Kart World
,136,,1st-person,Asgard's Wrath II
Mature,137,,Behind view,Final Fantasy XVI
,138,,3rd-person (Other),NORCO
,139,,Behind view,Sword of the Sea
Teen,140,,Side view,Castlevania: Advance Collection
,141,,Behind view,NieR Replicant ver.1.22474487139...
Mature,142,,Behind view,Silent Hill f
,143,,3rd-person (Other),Lost Judgment
,144,,Behind view,Granblue Fantasy: Relink
,145,,1st-person,Fate/stay night: Remastered
,146,,1st-person,Before Your Eyes
,147,,Behind view,The Legend of Heroes: Trails Through Daybreak
Everyone 10+,148,,3rd-person (Other),Pikmin 4
,149,,1st-person,Ace Attorney Investigations Collection
,150,,Behind view,LEGO Star Wars: The Skywalker Saga
,151,,Diagonal-down,Tunic
,152,,3rd-person (Other),The Great Ace Attorney Chronicles
Everyone,153,,3rd-person (Other) Behind view Diagonal-down Side view,Super Mario Party Jamboree
,154,,Diagonal-down,Omori
,155,,1st-person,Doki Doki Literature Club Plus!
,156,,3rd-person (Other),The Cosmic Wheel Sisterhood
,157,,Diagonal-down,Fantasy Life i: The Girl Who Steals Time
,158,,Text-based / Spreadsheet,Paranormasight: The Seven Mysteries of Honjo
Everyone,159,,Diagonal-down,Super Mario RPG
,160,,3rd-person (Other),Chants of Sennaar
,161,,1st-person,The Forgotten City
Teen,162,,Diagonal-down,Command & Conquer: Remastered Collection
,163,,Behind view,Atelier Ryza 3: Alchemist of the End & the Secret Key
Everyone 10+,164,,3rd-person (Other),Pikmin 3 Deluxe
,165,,1st-person,The Roottrees are Dead
,166,,Side view,OlliOlli World
,167,,Side view,Street Fighter 6: Years 1-2 - Fighters Edition
